Die häufigsten Seiten,Klicks,Impressionen,CTR,Position
https://stromhaltig.de/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,1,42,2.38%,6.5
https://stromhaltig.de/wissen/bearbeitung-einer-aperak-z19-meldung-durch-netzbetreiber,1,40,2.5%,4.08
https://stromhaltig.de/wissen/utilmd-bgm-z-codes-geschaeftsprozesse-im-detail,1,40,2.5%,6.42
https://stromhaltig.de/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,1,30,3.33%,31.43
https://stromhaltig.de/whitepaper/mabis-hub,1,29,3.45%,31.41
https://stromhaltig.de/wissen/bilateraler-stammdatenabgleich-fehlerbehebung-und-harmonisierung-in-der-marktkommunikation,1,24,4.17%,4.92
https://stromhaltig.de/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,1,20,5%,12.25
https://stromhaltig.de/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,1,18,5.56%,5.56
https://stromhaltig.de/wissen/artikel/bk6-24-210-verfahrensstand,1,13,7.69%,5.85
https://stromhaltig.de/wissen/rueckwirkende-abmeldung-der-grundversorgung-unzulaessigkeit-und-ausnahmen,1,10,10%,11
https://stromhaltig.de/wissen/artikel/m2c-stammdaten,1,7,14.29%,10.86
https://stromhaltig.de/wissen/schnittstellen-der-marktkommunikation-zu-anderen-unternehmensbereichen-in-der-energiewirtschaft,1,6,16.67%,4
https://stromhaltig.de/,1,5,20%,3.2
https://stromhaltig.de/daten-atlas/datenelemente/rff-1154-referenz-identifikation,1,2,50%,4
https://stromhaltig.de/whitepaper/prozessatlas-m2c,1,2,50%,4.5
https://stromhaltig.de/daten-atlas/datenelemente/lf-e-0406-ebd-nr-e-0406-ebd-zur-prufung-der-netznutzungsrechnung-zwischen-nb-und-lf,1,1,100%,1
https://stromhaltig.de/daten-atlas/datenelemente/s002-0007-teilnehmerbezeichnung-qualifier,1,1,100%,2
https://stromhaltig.de/wissen/artikel/digitale-infrastrukturen-energiewende,1,1,100%,2
https://stromhaltig.de/wissen/faq-fehler-z17-zustaendigkeitsfehler-bei-markt-messlokationszuordnung-in-der-energiemarktkommunikation,1,1,100%,2
https://stromhaltig.de/daten-atlas/datenelemente/dtm-00-formatkennzeichen-fur-datum-uhrzeit,1,1,100%,4
https://stromhaltig.de/daten-atlas/datenelemente/cta-0150-ansprechpartner-einspeiseprozesse,1,1,100%,5
https://stromhaltig.de/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,0,89,0%,10.39
https://stromhaltig.de/wissen/pricat-nachrichten-als-antwort-auf-g-0031-und-g-0032-anfragen,0,57,0%,14.81
https://stromhaltig.de/wissen/abrechnungsprozesse-im-deutschen-energiemarkt-zusammenspiel-von-nb-msb-und-lf,0,46,0%,6.41
https://stromhaltig.de/wissen/lieferantenwechsel-im-strommarkt-rechtliche-grundlagen-und-gpke-prozesse-fuer-energiefachkraefte,0,36,0%,6.83
https://stromhaltig.de/wissen/24h-lieferantenwechsel-ein-leitfaden-fuer-die-erfolgreiche-umsetzung,0,32,0%,8
https://stromhaltig.de/community/public/bk6-24-210-api,0,31,0%,8.16
https://stromhaltig.de/wissen/thema/edi-energy,0,30,0%,17.6
https://stromhaltig.de/wissen/thema/aperak,0,26,0%,6.27
https://stromhaltig.de/wissen/erlaeutern-sie-den-zweck-und-die-typischen-inhalte-der-formate-invoic-und-remadv-im-kontext-der-marktkommunikation,0,26,0%,14.23
https://stromhaltig.de/wissen/thema/fehlerbehebung,0,21,0%,7.1
https://stromhaltig.de/wissen/thema/marktkommunikation,0,21,0%,8.86
https://stromhaltig.de/whitepapers/prozessatlas-m2c/Prozessatlas_Meter-2-Cash.pdf,0,20,0%,7.35
https://stromhaltig.de/wissen/14a-enwg-steuerung-von-verbrauchseinrichtungen-und-umsetzung-in-der-marktkommunikation,0,18,0%,5.28
https://stromhaltig.de/wissen/thema/malo-id,0,18,0%,67.22
https://stromhaltig.de/wissen/partin-nachricht-stammdatenmanagement-im-deutschen-energiemarkt,0,15,0%,5.73
https://stromhaltig.de/wissen/mehr-mindermengenabrechnung-im-strommarkt-ausgleichsenergie-bilanzkreise-und-prozesse,0,15,0%,7.73
https://stromhaltig.de/benutzerhandbuch,0,15,0%,10.6
https://stromhaltig.de/wissen/thema/utilmd,0,14,0%,7.93
https://stromhaltig.de/wissen/sperrung-entsperrung-von-netzanschluessen-die-rolle-des-messstellenbetreibers-msb,0,14,0%,17
https://stromhaltig.de/wissen/rueckwirkende-vertragsaufloesung-in-der-grundversorgung-prozesse-fristen-und-ausnahmen,0,13,0%,5.46
https://stromhaltig.de/glossary/baukostenzuschuss/,0,11,0%,5.73
https://stromhaltig.de/daten-atlas/prozesse/zahlerwechsel-und-gerateubernahme-wim,0,11,0%,7.55
https://stromhaltig.de/karriere,0,11,0%,26.36
https://stromhaltig.de/wissen/artikel/mako-compliance-core,0,10,0%,6.2
https://stromhaltig.de/daten-atlas/datenelemente/bgm-1004-belegart-code,0,10,0%,7.5
https://stromhaltig.de/whitepapers/stammdaten_navigator/Whitepaper_Stammdaten_Navigator.pdf,0,9,0%,9
https://stromhaltig.de/screenshot-analysis,0,8,0%,4.25
https://stromhaltig.de/daten-atlas/prozesse/bestellung-einer-technischen-konfiguration-msb,0,8,0%,6.88
https://stromhaltig.de/wissen/thema/partin,0,8,0%,7.75
https://stromhaltig.de/wissen/dtm-z26-im-utilmd-was-bedeutet-das,0,8,0%,8.75
https://stromhaltig.de/wissen/faq-behebung-von-aperak-fehlercode-z20-im-messwertclearing-cs-3-0,0,7,0%,4.57
https://stromhaltig.de/wissen/thema/bdew-code,0,7,0%,10
https://stromhaltig.de/wissen,0,6,0%,4.33
https://stromhaltig.de/wissen/thema/gpke,0,6,0%,6
https://stromhaltig.de/daten-atlas/prozesse/lieferantenwechsel,0,6,0%,9
https://stromhaltig.de/app/,0,5,0%,2.4
https://stromhaltig.de/daten-atlas/prozesse/stammdatenanderung,0,5,0%,4.4
https://stromhaltig.de/mcp-service,0,5,0%,5.6
https://stromhaltig.de/wissen/artikel/prozessatlas-meter-2-cash-infografik,0,5,0%,5.8
https://stromhaltig.de/data,0,5,0%,7.4
https://stromhaltig.de/wissen/thema/wim,0,5,0%,8.6
https://stromhaltig.de/wissen/thema/remadv,0,5,0%,8.8
https://stromhaltig.de/daten-atlas/datenelemente/bgm-z29-abrechnung-des-messstellenbetriebs-vom-msb-an-den-lf,0,4,0%,5.75
https://stromhaltig.de/daten-atlas/prozesse/anmeldung-lieferbeginn-bei-einzug,0,4,0%,6.25
https://stromhaltig.de/training,0,4,0%,6.75
https://stromhaltig.de/wissen/thema/stammdaten,0,4,0%,7.25
https://stromhaltig.de/daten-atlas/datenelemente/partin-maxwdh-bdew,0,4,0%,8
https://stromhaltig.de/wissen/sperr-und-entsperrprozesse-aus-sicht-des-energielieferanten,0,4,0%,8.25
https://stromhaltig.de/wissen/community-hub-effizienzsteigerung-in-der-marktkommunikation-der-energiewirtschaft,0,4,0%,29.25
https://stromhaltig.de/wissen/thema/invoic,0,4,0%,42.75
https://stromhaltig.de/daten-atlas/datenelemente/unb-0032-agreement-identification,0,3,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/ide-e-0406-ebd-nr-e-0406-ebd-zur-prufung-der-netznutzungsrechnung-zwischen-nb-und-lf,0,3,0%,2.67
https://stromhaltig.de/daten-atlas/datenelemente/aperak-ebene-name,0,3,0%,3.67
https://stromhaltig.de/wissen/thema/pricat,0,3,0%,4.67
https://stromhaltig.de/wissen/lfw24-der-24-stunden-lieferantenwechsel-im-energiemarkt-beschleunigung-und-automatisierung,0,3,0%,6.33
https://stromhaltig.de/wissen/mscons-und-invoic-zusammenspiel-im-abrechnungsprozess-der-energiewirtschaft,0,3,0%,7
https://stromhaltig.de/wissen/thema/bdew,0,3,0%,7.67
https://stromhaltig.de/daten-atlas/datenelemente/aperak-0090-referenznummer-version-mit-datum,0,3,0%,8
https://stromhaltig.de/wissen/thema/msbg,0,3,0%,8
https://stromhaltig.de/daten-atlas/visualisierungen/xxx-e-0267,0,3,0%,9.67
https://stromhaltig.de/daten-atlas/datenelemente/prc-7143-preiskennung,0,3,0%,11.33
https://stromhaltig.de/daten-atlas/datenelemente/prc-e-0259-ebd-nr-e-0259-rechnung-verarbeiten-codeliste-zur-prufung-der-abrechnung-von-dienstleistungen-zwischen-zvsv5t,0,2,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/unh-de0057-nachrichtenversionsnummer,0,2,0%,2
https://stromhaltig.de/daten-atlas/visualisierungen/ide-e-0259,0,2,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/unz-0020-datenaustauschreferenz,0,2,0%,3.5
https://stromhaltig.de/daten-atlas/visualisierungen/unb-0032,0,2,0%,3.5
https://stromhaltig.de/daten-atlas/datenelemente/rff-0009-prufidentifikator,0,2,0%,4.5
https://stromhaltig.de/wissen/bedeutung-des-codes-z26-in-der-energiewirtschaft,0,2,0%,4.5
https://stromhaltig.de/daten-atlas/datenelemente/bgm-9-nachrichtenfunktion-code,0,2,0%,5
https://stromhaltig.de/tags/wettbewerblicher-messstellenbetreiber/,0,2,0%,5
https://stromhaltig.de/wissen/artikel,0,2,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/ide-gs-002-codeliste-gas-und-strom-nr-gs-002-codeliste-zur-prufung-der-mehr-mindermengenabrechnung-zwischen-nb-und-cmtij,0,2,0%,5.5
https://stromhaltig.de/daten-atlas/datenelemente/qal-za8-brennwertkorrektur,0,2,0%,5.5
https://stromhaltig.de/daten-atlas/prozesse/sperrung-und-entsperrung-eines-anschlusses,0,2,0%,5.5
https://stromhaltig.de/wissen/stellensuche-in-der-marktkommunikation-wo-und-wie-finde-ich-jobs-in-der-energiewirtschaft,0,2,0%,5.5
https://stromhaltig.de/beratung,0,2,0%,6.5
https://stromhaltig.de/daten-atlas/datenelemente/qal-zs9-grund-der-ersatzwertbildung-gemass-angaben-auf-ebene-der-messlokation,0,2,0%,6.5
https://stromhaltig.de/wissen/thema/messstellenbetreiber,0,2,0%,7
https://stromhaltig.de/data/codeliste-lokationsbundelstrukturen-1-0-fehlerkorrektur-20241213,0,2,0%,7.5
https://stromhaltig.de/daten-atlas/datenelemente/unt-0440-nachrichten-endesegment,0,2,0%,7.5
https://stromhaltig.de/daten-atlas/datenelemente/cci-00023-zugeordnete-schaltzeitdefinition,0,2,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/gei-0120-prufidentifikator,0,2,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/imd-7077-beschreibungsformat-code,0,2,0%,8
https://stromhaltig.de/wissen/thema/lieferantenwechsel,0,2,0%,8
https://training.stromhaltig.de/kurs/basis-kurs/umgang-mit-markt-mess-und-netzlokationen-grundlagen-der-marktkommunikation,0,2,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/prc-e-0261-ebd-nr-e-0261-storno-verarbeiten-codeliste-zur-prufung-fur-die-antwort-auf-eine-stornierung-abrechnun-13i1ae2,0,2,0%,8.5
https://stromhaltig.de/daten-atlas/datenelemente/bgm-1225-nachrichtenfunktion-code,0,2,0%,10
https://stromhaltig.de/wissen/thema/ersatzversorgung,0,2,0%,10
https://stromhaltig.de/daten-atlas/datenelemente/ide-1004-identifikator-des-edi-standards,0,2,0%,10.5
https://stromhaltig.de/wissen/thema/messlokation,0,2,0%,18.5
https://stromhaltig.de/training/it-systeme/,0,2,0%,31
https://stromhaltig.de/daten-atlas/datenelemente/bgm-de1225-die-nachrichtenfunktion-codiert,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/bgm-za8-brennwertkorrektur,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/cci-00036-kommunikationseinrichtung,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/doc-1001-dokumentenname-code,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/dtm-303-zeitzonenverschiebung,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/loc-c517-ortsangabe,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/moa-1330-preis,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/quotes-name-zahler,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/tax-5153-zoll-steuer-gebuhren-art-code,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/unh-0077-empfanger-kennung,0,1,0%,1
https://stromhaltig.de/daten-atlas/datenelemente/unt-00039-segment-gruppen-bezeichner,0,1,0%,1
https://stromhaltig.de/podcast.rss,0,1,0%,1
https://training.stromhaltig.de/kurs/basis-marktnachrichten/14-erste-bekanntschaft-die-rolle-von-aperak-und-contrl-als-ruckmeldungen,0,1,0%,1
https://stromhaltig.de/atlas/pdf/MOA_1330.pdf,0,1,0%,2
https://stromhaltig.de/daten-atlas/datenelemente/bgm-z74-bestellung-eines-angebots-einer-konfiguration,0,1,0%,2
https://stromhaltig.de/daten-atlas/datenelemente/ftx-sg28-anderungsmoglichkeit-der-konfiguration-im-smgw,0,1,0%,2
https://stromhaltig.de/daten-atlas/datenelemente/qal-3055-code-list-responsible-agency-code,0,1,0%,2
https://stromhaltig.de/atlas/pdf/BGM_1225.pdf,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/bgm-c002-bezeichner,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/ebd-e-0804-ebd-nr-e-0804-prufen-ob-antwort-auf-stornierung-erforderlich-mmma-zwischen-nb-und-lf,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/ftx-4441-freier-text-code,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/rff-0060-referenzangaben,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/s009-0057-anwendungscode-der-zustandigen-organisation,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/segmentlayout-0104-position-des-fehlerhaften-gruppendatenelements,0,1,0%,3
https://stromhaltig.de/daten-atlas/datenelemente/loc-loc-ortsangabe-qualifier,0,1,0%,4
https://stromhaltig.de/daten-atlas/datenelemente/nh-pricat-d-20b-un-2-0d-unbekannt,0,1,0%,4
https://stromhaltig.de/daten-atlas/datenelemente/rff-0030-prufidentifikator,0,1,0%,4
https://stromhaltig.de/daten-atlas/datenelemente/s005-0026-anwendungsreferenz,0,1,0%,4
https://stromhaltig.de/daten-atlas/datenelemente/segmentname-cci-zeitreihentyp,0,1,0%,4
https://stromhaltig.de/daten-atlas/visualisierungen/moa-1330,0,1,0%,4
https://stromhaltig.de/atlas/pdf/RFF_1153.pdf,0,1,0%,5
https://stromhaltig.de/atlas/pdf/UNH_0057.pdf,0,1,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/cci-7059-klassentyp-code,0,1,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/ebd-e-1010-ebd-nr-e-1010-prufen-ob-antwort-auf-stornierung-erforderlich-abrechnung-einer-sonstigen-leistung-gas,0,1,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/loc-3233-code-qualifier,0,1,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/nad-c059-strasse,0,1,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/prc-e-0407-ebd-nr-e-0407-ebd-zur-erneuten-prufung-der-netznutzungsrechnung-nach-erhalt-der-comdis,0,1,0%,5
https://stromhaltig.de/daten-atlas/datenelemente/rff-1153-referenz-qualifier,0,1,0%,5
https://stromhaltig.de/daten-atlas/visualisierungen/rff-1154,0,1,0%,5
https://stromhaltig.de/tags/stromdao/,0,1,0%,5
https://stromhaltig.de/wissen/thema/community-hub,0,1,0%,5
https://stromhaltig.de/atlas/pdf/NH_PRICAT_D_20B_UN_2_0D.pdf,0,1,0%,6
https://stromhaltig.de/daten-atlas/datenelemente/ide-1131-code-list-qualifier,0,1,0%,6
https://stromhaltig.de/daten-atlas/datenelemente/ide-g-0079-codeliste-gas-nr-g-0079-codeliste-fur-die-prufung-der-kapazitatsrechnung,0,1,0%,6
https://stromhaltig.de/daten-atlas/datenelemente/imd-c272-produkt-leistung,0,1,0%,6
https://stromhaltig.de/daten-atlas/datenelemente/nad-23-messlokation,0,1,0%,6
https://stromhaltig.de/daten-atlas/datenelemente/reqote-1020-erforderliches-produkt-leistungskurvendefinitionen,0,1,0%,6
https://stromhaltig.de/daten-atlas/datenelemente/unb-0019-uhrzeit-der-erstellung,0,1,0%,6
https://stromhaltig.de/daten-atlas/visualisierungen/tax-5153,0,1,0%,6
https://stromhaltig.de/wissen/thema/gabi,0,1,0%,6
https://training.stromhaltig.de/kurs/basis-kurs/inhalt-und-funktionsweise-des-bilanzkreismodells,0,1,0%,6
https://jobs.stromhaltig.de/,0,1,0%,7
https://stromhaltig.de/atlas/pdf/BGM_ZR2.pdf,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/bgm-za1-messwert-unplausibel,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/cux-0430-falligkeitsdatum,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/cux-6345-wahrung-code,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/ebd-e-0566-ebd-nr-e-0566-rechnung-messstellenbetrieb-mit-ims-gegenuber-dem-nb-prufen,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/loc-00019-meldepunkt,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/nad-00035-ansprechpartner-stammdatenprozesse,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/rff-00011-referenz-vorgangsnummer,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/sts-c601-statuskategorie,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/unb-0017-datum-der-erstellung,0,1,0%,7
https://stromhaltig.de/glossary/demand_side_management/,0,1,0%,7
https://stromhaltig.de/whitepapers/ki_mako_smb/ki_mako_smb.pdf,0,1,0%,7
https://stromhaltig.de/daten-atlas/datenelemente/dtm-2380-datum-oder-uhrzeit-oder-zeitspanne-wert,0,1,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/fii-3433-institution-bank-code,0,1,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/ide-1056-code-des-nachrichtenidentifikators,0,1,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/loc-0350-meldepunkt,0,1,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/prc-e-0503-ebd-nr-e-0503-ebd-zur-prufung-der-abrechnung-einer-sonstigen-leistung-dies-kann-die-rechnung-zur-beauf-mxnot6,0,1,0%,8
https://stromhaltig.de/daten-atlas/visualisierungen/rff-1156,0,1,0%,8
https://stromhaltig.de/daten-atlas/visualisierungen/xxx-e-0515,0,1,0%,8
https://stromhaltig.de/wissen/abrechnung-von-messentgelten-zwischen-messstellenbetreiber-und-lieferant,0,1,0%,8
https://stromhaltig.de/daten-atlas/datenelemente/bgm-987-funktion,0,1,0%,9
https://stromhaltig.de/daten-atlas/datenelemente/cav-sg28-wandler,0,1,0%,9
https://stromhaltig.de/daten-atlas/datenelemente/moa-00011-angeforderter-betrag,0,1,0%,9
https://stromhaltig.de/daten-atlas/datenelemente/pia-00032-nach-typ-2-aus-smgw,0,1,0%,9
https://stromhaltig.de/daten-atlas/datenelemente/pri-1570-preisangaben,0,1,0%,9
https://stromhaltig.de/daten-atlas/datenelemente/unt-s010-status-der-ubermittlung,0,1,0%,9
https://stromhaltig.de/daten-atlas/visualisierungen/unh-de0057,0,1,0%,9
https://stromhaltig.de/wissen/thema/messwertclearing,0,1,0%,9
https://stromhaltig.de/wissen/wie-funktioniert-die-chat-funktion,0,1,0%,9
https://training.stromhaltig.de/kurs/basis-marktnachrichten/24-identifikation-von-daten-die-bedeutung-von-codes-zb-eic-code-gln,0,1,0%,9
https://stromhaltig.de/atlas/pdf/CCI_6313.pdf,0,1,0%,10
https://stromhaltig.de/daten-atlas/datenelemente/ebd-g-0084-codeliste-gas-nr-g-0084-codeliste-zur-prufung-ablehnung-der-rechnung-vom-msbn-an-den-msba,0,1,0%,10
https://stromhaltig.de/daten-atlas/datenelemente/ide-e-0804-ebd-nr-e-0804-prufen-ob-antwort-auf-stornierung-erforderlich-mmma-zwischen-nb-und-lf,0,1,0%,10
https://stromhaltig.de/daten-atlas/datenelemente/nad-3124-zeile-fur-name-und-anschrift,0,1,0%,10
https://stromhaltig.de/daten-atlas/datenelemente/qty-6063-menge-qualifier,0,1,0%,10
https://stromhaltig.de/daten-atlas/datenelemente/unh-0026-nachrichtenreferenznummer,0,1,0%,10
https://stromhaltig.de/whitepaper/computerlinguistik,0,1,0%,10
https://stromhaltig.de/whitepaper/stammdaten_navigator,0,1,0%,10
https://stromhaltig.de/atlas/pdf/CNTRL_DE0098.pdf,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/bgm-z57-ubermittlung-von-werten-an-esa,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/comdis-nr-bez,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/ebd-e-0264-ebd-nr-e-0264-zur-prufung-der-abrechnung-einer-fur-den-esa-erbrachten-leistung,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/ebd-e-0521-ebd-nr-e-0521-zur-erneuten-prufung-der-abrechnung-leistungen-des-preisblatts-a-des-msb-zwischen-msb-und-lf,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/imd-c273-produkt-leistungsbeschreibung,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/lin-00062-erforderliches-messprodukt-fur-werte-nach-typ-2-aus-backend,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/loc-3225-ortsangabe-nummer,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/rff-0100-prufidentifikator,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/segmentgruppe-5-0520-rff-zugehorige-rechnung-oder-bestellung-auf-positionsebene,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/unh-0073-referenznummer-des-empfangers,0,1,0%,11
https://stromhaltig.de/daten-atlas/visualisierungen/cci-00023,0,1,0%,11
https://stromhaltig.de/wissen/wie-kann-ich-dokumente-hochladen,0,1,0%,11
https://stromhaltig.de/daten-atlas/datenelemente/bgm-z25-storno-fur-selbst-ausgestellte-rechnung-gutschrift-im-gutschriftsverfahren,0,1,0%,12
https://stromhaltig.de/daten-atlas/datenelemente/lf-e-0261-ebd-nr-e-0261-storno-verarbeiten-codeliste-zur-prufung-fur-die-antwort-auf-eine-stornierung-abrechnung-1wza7dm,0,1,0%,12
https://stromhaltig.de/daten-atlas/datenelemente/uci-0020-datenaustauschreferenz,0,1,0%,12
https://stromhaltig.de/whitepapers/billaterale_klaerung/excellenz_marktkommunikation.pdf,0,1,0%,12
https://stromhaltig.de/wissen/sperrung-und-entsperrung-von-netzanschluessen-verantwortlichkeiten-von-nb-und-msb,0,1,0%,12
https://stromhaltig.de/daten-atlas/prozesse/stilllegung-eines-netzanschlusses,0,1,0%,41
https://stromhaltig.de/wissen/thema/compliance,0,1,0%,57
