name,visitors,pageviews,bounce_rate,time_on_page
/data/codeliste-obis-kennzahlen-medien-2-5b-20240125/Codeliste-OBIS-Kennzahlen_Medien_2_5b_20240125.pdf,3,3,,
/wissen/14a-enwg-steuerung-von-verbrauchseinrichtungen-und-umsetzung-in-der-marktkommunikation,3,5,100,364.0
/wissen/24h-lieferantenwechsel-ein-leitfaden-fuer-die-erfolgreiche-umsetzung,3,3,100,
/wissen/artikel/remadv-zahlungsavis,3,4,100,15.0
/wissen/faq-fehler-z17-zustaendigkeitsfehler-bei-markt-messlokationszuordnung-in-der-energiemarktkommunikation,3,3,100,
/wissen/intelligente-messsysteme-imsys-in-der-marktkommunikation-prozesse-sicherheit-und-rollout,3,3,100,
/wissen/mehr-mindermengenabrechnung-im-strommarkt-ausgleichsenergie-bilanzkreise-und-prozesse,3,3,100,
/wissen/partin-nachricht-stammdatenmanagement-im-deutschen-energiemarkt,3,4,100,175.0
/wissen/sperr-und-entsperrprozesse-aus-sicht-des-energielieferanten,3,3,100,5.0
/app/bilateral-clarifications,2,2,,14.0
/app/code-lookup,2,2,100,28.0
/app/faq,2,2,0,12.0
/app/faqs/3c91f1c7-910c-42df-ba9a-20e561d5327b,2,2,100,19.0
/articles/gpke-geschaeftsprozesse,2,2,100,
/articles/lieferantenwechsel-prozess,2,2,50,1739.0
/articles/utilmd-stammdaten,2,2,100,1.0
/chat/40517851-e97e-4220-aa40-fca14b9d800e,2,2,,8.0
/daten-atlas,2,2,,78.0
/training/key_performance_indicators,2,2,100,
/whitepaper,2,2,,336.0
/wissen/14a-enwg-netzorientierte-steuerung-von-verbrauchseinrichtungen-in-der-marktkommunikation,2,2,100,
/wissen/abrechnung-von-messentgelten-zwischen-messstellenbetreiber-und-lieferant,2,2,50,501.0
/wissen/gpke-fristen-im-lieferantenwechsel,2,2,100,
/wissen/marktkommunikation-fuer-stromlieferanten-prozesse-standards-und-herausforderungen,2,2,50,40.0
/wissen/messwerte-im-energiemarkt-verantwortlichkeiten-prozesse-und-rechtliche-grundlagen,2,2,100,
/wissen/netzanschluss-entsperrung-beim-lieferantenwechsel-prozesse-marktrollen-und-technische-details,2,2,100,170.0
/wissen/remadv-im-energiemarkt-strukturierte-zahlungsavis-fuer-reibungslose-prozesse,2,2,100,
/wissen/schnittstellen-der-marktkommunikation-zu-anderen-unternehmensbereichen-in-der-energiewirtschaft,2,3,100,158.0
/wissen/thema/abrechnung,2,3,,11.0
/wissen/thema/wim,2,2,100,
/wissen/utilmd-und-mscons-detailliertes-zusammenspiel-in-der-marktkommunikation,2,2,100,
/wissen/zeitreihen-in-der-energiewirtschaft-definition-bedeutung-und-anwendungen,2,2,100,
/app/admin,1,2,0,
/app/chat/b5bb15c7-8aa8-41bd-9f56-d910696746d8,1,1,,34.0
/app/community/5cb081b2-eddf-4543-985f-0a250d584dfe,1,1,,1.0
/app/faqs,1,1,,2.0
/app/faqs/9e0bcf34-63ed-42be-ab75-3470aeee6d04,1,1,,
/app/forgot-password,1,1,,0.0
/app/screenshot-analysis,1,1,,8.0
/app/timelines,1,1,,4.0
/app/workspace,1,1,,
/articles/aperak-z17-fehler,1,1,,114.0
/articles/remadv-zahlungsavis,1,1,,21.0
/articles/standardlastprofile-2025,1,1,100,
/chat/03bf23a8-debf-4a2b-8356-7b92036653a2,1,1,,
/chat/159bb2e2-300a-4a43-87e9-ad6311139a90,1,1,,93.0
/chat/1baf457d-fa48-4d54-825b-2ba6b9947b09,1,1,,233.0
/chat/3ba48a1b-dbf3-409a-839e-972d9b9b7854,1,1,,
/chat/4351295f-a6dd-468f-bcc8-44c8514fce0f,1,1,,68.0
/chat/60158acf-8a2b-4996-85e2-573a476ce974,1,1,,
/chat/78b9a42e-40c0-4c45-88b1-98e28a075a09,1,1,,928.0
/chat/79e4897f-b00c-48a0-a8a9-7dbb3444d286,1,1,,
/chat/a881a3fd-c0fc-4466-943b-4d796dd4fb81,1,1,,6.0
/chat/b5b1ce6e-4f72-4979-b237-c97696299d3f,1,1,,295.0
/chat/b87e551d-3d85-4fd3-8362-7224543f8d35,1,1,,10.0
/chat/d7ace307-6f46-4e0c-9f72-79b379353c1f,1,1,,9.0
/chat/dbbec1df-2095-4261-8b3d-9c6962d7b517,1,5,,249.0
/checkliste/gpke-fristen,1,1,,
/community/public/bk6-24-210-api,1,2,0,
/community/public/bk6-24-210-webservice,1,1,100,
/data/codeliste-der-zeitreihentypen-1-1d-20210401,1,1,,4.0
/data/codeliste-obis-kennzahlen-medien-2-5b-fehlerkorrektur-20250210,1,1,,56.0
/daten-atlas/datenelemente/aperak-ebene-name,1,1,100,
/daten-atlas/datenelemente/bgm-z29-abrechnung-des-messstellenbetriebs-vom-msb-an-den-lf,1,2,0,52.0
/daten-atlas/datenelemente/dtm-0060-vorgangerversion,1,1,,
/daten-atlas/datenelemente/ide-1004-identifikator-des-edi-standards,1,1,100,
